S.No.,State Code,State Name (In English),District Code,District Name(In English),Census 2001 Code,Census 2011 Code
1,35,Andaman And Nicobar Islands,603,Nicobars,2,638
2,35,Andaman And Nicobar Islands,632,North And Middle Andaman,0,639
3,35,Andaman And Nicobar Islands,602,South Andamans,1,640
4,28,Andhra Pradesh,745,Alluri Sitharama Raju,0,0
5,28,Andhra Pradesh,744,Anakapalli,0,0
6,28,Andhra Pradesh,502,Ananthapuramu,22,553
7,28,Andhra Pradesh,753,Annamayya,0,0
8,28,Andhra Pradesh,750,Bapatla,0,0
9,28,Andhra Pradesh,503,Chittoor,23,554
10,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,0,0
11,28,Andhra Pradesh,505,East Godavari,14,545
12,28,Andhra Pradesh,748,Eluru,0,0
13,28,Andhra Pradesh,506,Guntur,17,548
14,28,Andhra Pradesh,746,Kakinada,0,0
15,28,Andhra Pradesh,510,Krishna,16,547
16,28,Andhra Pradesh,511,Kurnool,21,552
17,28,Andhra Pradesh,790,Markapuram,0,0
18,28,Andhra Pradesh,755,Nandyal,0,0
19,28,Andhra Pradesh,749,Ntr,0,0
20,28,Andhra Pradesh,751,Palnadu,0,0
21,28,Andhra Pradesh,743,Parvathipuram Manyam,0,0
22,28,Andhra Pradesh,791,Polavaram,0,0
23,28,Andhra Pradesh,517,Prakasam,18,549
24,28,Andhra Pradesh,519,Srikakulam,11,542
25,28,Andhra Pradesh,515,Sri Potti Sriramulu Nellore,19,550
26,28,Andhra Pradesh,754,Sri Sathya Sai,0,0
27,28,Andhra Pradesh,752,Tirupati,0,0
28,28,Andhra Pradesh,520,Visakhapatnam,13,544
29,28,Andhra Pradesh,521,Vizianagaram,12,543
30,28,Andhra Pradesh,523,West Godavari,15,546
31,28,Andhra Pradesh,504,Y.S.R. Kadapa,20,551
32,12,Arunachal Pradesh,628,Anjaw,0,260
33,12,Arunachal Pradesh,787,Bichom,0,0
34,12,Arunachal Pradesh,229,Changlang,12,253
35,12,Arunachal Pradesh,230,Dibang Valley,10,257
36,12,Arunachal Pradesh,231,East Kameng,3,247
37,12,Arunachal Pradesh,232,East Siang,8,251
38,12,Arunachal Pradesh,718,Kamle,0,0
39,12,Arunachal Pradesh,786,Keyi Panyor,0,0
40,12,Arunachal Pradesh,677,Kra Daadi,0,0
41,12,Arunachal Pradesh,233,Kurung Kumey,14,256
42,12,Arunachal Pradesh,724,Leparada,0,0
43,12,Arunachal Pradesh,234,Lohit,11,259
44,12,Arunachal Pradesh,666,Longding,0,0
45,12,Arunachal Pradesh,235,Lower Dibang Valley,15,258
46,12,Arunachal Pradesh,719,Lower Siang,0,0
47,12,Arunachal Pradesh,236,Lower Subansiri,5,255
48,12,Arunachal Pradesh,678,Namsai,0,0
49,12,Arunachal Pradesh,723,Pakke Kessang,0,0
50,12,Arunachal Pradesh,237,Papum Pare,4,248
51,12,Arunachal Pradesh,725,Shi Yomi,0,0
52,12,Arunachal Pradesh,679,Siang,0,0
53,12,Arunachal Pradesh,238,Tawang,1,245
54,12,Arunachal Pradesh,239,Tirap,13,254
55,12,Arunachal Pradesh,240,Upper Siang,9,252
56,12,Arunachal Pradesh,241,Upper Subansiri,6,249
57,12,Arunachal Pradesh,242,West Kameng,2,246
58,12,Arunachal Pradesh,243,West Siang,7,250
59,18,Assam,739,Bajali,0,0
60,18,Assam,616,Baksa,0,324
61,18,Assam,280,Barpeta,5,303
62,18,Assam,705,Biswanath,0,0
63,18,Assam,281,Bongaigaon,4,319
64,18,Assam,282,Cachar,21,316
65,18,Assam,708,Charaideo,0,0
66,18,Assam,612,Chirang,0,320
67,18,Assam,283,Darrang,8,325
68,18,Assam,284,Dhemaji,13,308
69,18,Assam,285,Dhubri,2,301
70,18,Assam,286,Dibrugarh,15,310
71,18,Assam,299,Dima Hasao,20,315
72,18,Assam,287,Goalpara,3,302
73,18,Assam,288,Golaghat,18,313
74,18,Assam,289,Hailakandi,23,318
75,18,Assam,709,Hojai,0,0
