S.No.,State Name (In English),Local Body Code,Local Body Name (In English),Census 2011 Code,District Code,District Name (In English),Subdistrict Code,Subdistrict Name (In English),Village Code,Village Name (In English)
1,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645532,Brichgunj (Rv)
2,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645531,Brookshabad Part (Rv)
3,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645529,Dollygunj (Rv)
4,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645551,Garacharma (Ct)
5,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645530,Minnie Bay Part (Rv)
6,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645527,Pahargaon Part (Rv)
7,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645550,Prothrapur (Ct)
8,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,645528,School Line Part (Rv)
9,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,5923,Port Blair,0,
10,Andaman And Nicobar Islands,253098,Port Blair,804041,602,South Andamans,0,,0,
11,Andhra Pradesh,257868,Addanki,0,517,Prakasam,5112,Addanki,0,
12,Andhra Pradesh,251792,Adoni,803003,511,Kurnool,5271,Adoni,0,
13,Andhra Pradesh,296256,Akiveedu,0,523,West Godavari,4975,Akividu,0,
14,Andhra Pradesh,253272,Allagadda,0,755,Nandyal,5298,Allagadda,0,
15,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,5167,Allur,591878,Allur
16,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,5167,Allur,591875,Allurupeta
17,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,5167,Allur,591885,North Mopuru
18,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,5167,Allur,591874,Singapeta
19,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,5167,Allur,0,
20,Andhra Pradesh,299713,Alluru,0,515,Sri Potti Sriramulu Nellore,0,,0,
21,Andhra Pradesh,251699,Amadalavalasa,802941,519,Srikakulam,4798,Amadalavalasa,0,
22,Andhra Pradesh,251735,Amalapuram,802958,747,Dr. B.R. Ambedkar Konaseema,4941,Amalapuram,0,
23,Andhra Pradesh,248112,Anantapur,803009,502,Ananthapuramu,5330,Anantapur Rural,0,
24,Andhra Pradesh,258033,Atmakur,0,515,Sri Potti Sriramulu Nellore,5164,Atmakur,0,
25,Andhra Pradesh,253270,Atmakur (Kurnool),0,755,Nandyal,5265,Atmakur,0,
26,Andhra Pradesh,248111,Badvel,802994,504,Y.S.R. Kadapa,5210,Badvel,0,
27,Andhra Pradesh,248111,Badvel,802994,504,Y.S.R. Kadapa,5211,Gopavaram,0,
